year;Total (without LULUCF)
1990;79668,46338
1991;83362,0729
1992;76593,06471
1993;77113,29314
1994;77039,35177
1995;80295,01457
1996;83534,62248
1997;83099,71943
1998;82422,88086
1999;80874,23193
2000;81119,12202
2001;85041,94076
2002;86802,66111
2003;92140,01475
2004;91939,9556
2005;93088,95745
2006;90647,77588
2007;87889,60479
2008;87348,99018
2009;80752,61892
2010;85339,46723
2011;83214,26019
2012;80383,91555
2013;80826,55063
2014;77120,84599
2015;79316,29618
2016;80306,18066
2017;82703,41567
2018;79654,77551
2019;80818,57649
2020;74795,31214
2021;78131,00518
2022;73506,58205
2023;68674,0605
2024;66637,8313
